no. samples with count > 0	no. samples with count >= 5	no. samples with count >= 10	pre-VST median expression	pre-VST mean expression	pre-VST expression variance	post-VST median expression	post-VST mean expression	post-VST expression variance
g0185	9	7	4	7.36794323419167	9.42742344473658	66.4373540895117	4.72239195986125	4.70861097882414	0.338172353739717
g0186	1	0	0	0	0.298923553690526	0.893552909509729	3.6491789472175	3.71891834730705	0.0486358392485009
g0191	1	0	0	0	0.149461776845263	0.223388227377432	3.6491789472175	3.69872977305265	0.0245528434094529
g0192	10	7	3	6.3722045836269	8.90735374789353	50.805992574227	4.65128582764955	4.76003155549908	0.142599148155008
g0193	3	0	0	0	0.473333589310145	0.798703503625996	3.6491789472175	3.79550545596075	0.0623304687038335
g0194	1	0	0	0	0.0831488017404108	0.0691372323086615	3.6491789472175	3.68621752700003	0.0137185639230644
g0195	8	1	0	2.40086799763967	2.45326348078719	4.55668377513307	4.27523599154482	4.19111470614171	0.114126128098998
g0197	1	0	0	0	0.129008842768665	0.1664328151251	3.6491789472175	3.69524539185801	0.0212211732181711
g0200	1	0	0	0	0.0831488017404108	0.0691372323086614	3.6491789472175	3.68621752700003	0.0137185639230644
g0203	1	0	0	0	0.258017685537329	0.665731260500401	3.6491789472175	3.71405582084186	0.0420900873127121
g0204	7	4	4	3.28144416575325	53.1410641924966	10872.8865386863	4.35573203505834	5.00302505994932	2.91366340896984
g0205	10	10	10	34.1439153610056	34.7894635046807	76.4936603356194	5.81871373116403	5.81751209299871	0.054053411896193
g0206	7	5	0	4.88745578339091	4.37277428731888	13.2204597905061	4.53525416467685	4.33242368864161	0.252155734659182
g0209	10	6	1	5.25292746490364	5.63120609852866	6.46088321687399	4.56706325762149	4.57419603245612	0.0446604305568315
g0210	10	10	10	39.5540979233946	40.8905571042616	202.50979877978	5.9566856092398	5.94697351966321	0.128145690701645
g0211	8	2	2	1.8601496934426	10.7496923339604	446.818407341207	4.19063450035815	4.47472258876575	0.818783232723566
g0212	10	10	9	37.2638921338911	34.2939340773376	210.291596846973	5.89861262242592	5.75688116267281	0.207216376443485
g0213	10	8	6	11.0223756931463	15.1064188370552	175.682648202415	4.95614636072428	5.00235136108354	0.390481060651225
g0214	10	10	10	365.043931457387	384.636732813264	24248.6996045317	8.60566138873935	8.59302996290735	0.263340478088508
g0216	1	0	0	0	0.179084269970131	0.320711757507346	3.6491789472175	3.70336621854741	0.0293626037418084
g0218	10	9	6	10.9967597964907	13.3175288534415	51.1143753583747	4.95427396129927	5.025422399096	0.12188566299907
g0219	1	0	0	0	0.115363597153351	0.133087595481607	3.6491789472175	3.69276050133881	0.0189935185962876
g0220	5	0	0	0.263881448660667	0.84148929512515	1.66248765548253	3.79686841533923	3.89434908897918	0.0857143312728456
g0221	10	10	10	52.1637120129903	47.1842858921983	264.489643508943	6.22345296672985	6.08423888357296	0.14448336545732
g0222	10	10	10	86.7167896170726	85.6531354702908	666.120894740973	6.78550951004037	6.73128000795101	0.132008858565181
g0223	10	10	10	104.457938546768	125.313783729856	4210.49750127881	7.00356343674854	7.12171812671196	0.289593279760893
g0224	10	10	10	173.495007344125	213.410990092918	26009.9419801268	7.62036504692246	7.6005609142083	0.978974126650641
g0226	1	0	0	0	0.0855554471783893	0.0731973454189416	3.6491789472175	3.68674675658486	0.0141134030066186
g0228	1	0	0	0	0.0855554471783893	0.0731973454189416	3.6491789472175	3.68674675658486	0.0141134030066186
g0229	10	10	10	64.9425728668686	66.1561135385617	456.113755478975	6.46284266266309	6.43895776157955	0.14535633046263
g0231	1	0	0	0	0.129008842768665	0.1664328151251	3.6491789472175	3.69524539185801	0.0212211732181711
g0233	10	5	2	4.52209701795413	10.6456175389769	383.541755932044	4.49965146300892	4.65158761967605	0.492685989522221
g0234	10	10	10	55.4891076410255	55.1961444516757	438.965155141858	6.29605950878455	6.23517406011203	0.176477575756215
g0235	10	5	3	4.14995210731568	5.86134059703665	18.6013906053811	4.4617543812383	4.54795972836643	0.126224990777076
g0237	10	10	10	130.527458965473	154.983436247097	3668.09423561031	7.27135615587373	7.41674273154915	0.207707318398343
g0240	2	0	0	0	0.407479462382592	0.803422195126918	3.6491789472175	3.76360664667701	0.0594991470206324
g0241	3	2	1	0	2.19912329151092	19.6148854116102	3.6491789472175	3.95011049376476	0.280110154186098
g0246	1	0	0	0	0.171110894356779	0.292789381675766	3.6491789472175	3.70215987187042	0.0280697837707759
g0247	5	2	0	1.66297603480822	2.50133399112762	8.77159551818977	4.01659809586137	4.08990111295318	0.228985908288436
g0248	5	0	0	0.415744008702054	0.61055565049809	0.522080010213328	3.83437184613013	3.86977728154431	0.0574572948879147
g0249	3	0	0	0	0.271516742592349	0.191369145550493	3.6491789472175	3.76506537808701	0.0348283648487028
g0252	3	2	2	0	37.6608911948435	6301.37193395443	3.6491789472175	4.50277658628589	2.90313968802929
g0253	8	4	3	3.33949831276221	101.369943644775	43800.9919657598	4.38522375174168	5.17784429285169	4.2559685808273
g0254	3	1	1	0	1.94119379348187	23.5336819677706	3.6491789472175	3.91130777673187	0.255002526077164
